schema,table,column,value,weight,notes
nzta_clean,dlr_historic,nzta_hist_licence_type_text,PERMANENT,90,reused for dlr
nzta_clean,dlr_historic,nzta_hist_licence_type_text,TEMPORARY,4,reused for dlr
nzta_clean,dlr_historic,nzta_hist_licence_type_text,DIPLOMATIC,1,for non-residents only
nzta_clean,drivers_licence_register,nzta_dlr_organ_donor_ind,Y,56,
nzta_clean,drivers_licence_register,nzta_dlr_organ_donor_ind,N,33,
nzta_clean,drivers_licence_register,nzta_dlr_region_code,1,164,Northland
nzta_clean,drivers_licence_register,nzta_dlr_region_code,2,1493,Auckland
nzta_clean,drivers_licence_register,nzta_dlr_region_code,3,424,Waikato
nzta_clean,drivers_licence_register,nzta_dlr_region_code,4,279,Bay of Plenty
nzta_clean,drivers_licence_register,nzta_dlr_region_code,5,47,Gisborne
nzta_clean,drivers_licence_register,nzta_dlr_region_code,6,158,Hawke’s Bay
nzta_clean,drivers_licence_register,nzta_dlr_region_code,7,113,Taranaki
nzta_clean,drivers_licence_register,nzta_dlr_region_code,8,231,Manawatu-Whanganui
nzta_clean,drivers_licence_register,nzta_dlr_region_code,9,486,Wellington
nzta_clean,drivers_licence_register,nzta_dlr_region_code,17,48,Tasman
nzta_clean,drivers_licence_register,nzta_dlr_region_code,18,48,Nelson
nzta_clean,drivers_licence_register,nzta_dlr_region_code,12,44,Marlborough
nzta_clean,drivers_licence_register,nzta_dlr_region_code,13,33,West Coast
nzta_clean,drivers_licence_register,nzta_dlr_region_code,14,562,Canterbury
nzta_clean,drivers_licence_register,nzta_dlr_region_code,15,208,Otago
nzta_clean,drivers_licence_register,nzta_dlr_region_code,16,96,Southland
nzta_clean,drivers_licence_register,nzta_dlr_licence_issue_date,,,date of first licence
nzta_clean,drivers_licence_register,nzta_dlr_lic_class_grant_date,,,date granted class
nzta_clean,drivers_licence_register,nzta_dlr_licence_start_date,,,date of last event (licence or suspended)
nzta_clean,drivers_licence_register,nzta_dlr_licence_from_date,,,"most recent date of issue (by class, or reissued every 5 years)"
nzta_clean,drivers_licence_register,nzta_dlr_class_from_date,,,most recent date of issue (reissued every 5 years)
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,P,20,passenger
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,V,2,vehicle recovery
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,I,3,driving instructor
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,O,2,testing officies
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,D,4,dangerous goods
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,F,4,forklift
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,R,1,vehicle on rollers
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,T,1,vehcile with self-laying tracks
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,W,1,special vehicle on wheels (e.g. mining)
nzta_clean,drivers_licence_register,nzta_dlr_endorsement_type_text,NA,100,none
